MODEL,STAMINA/STORM 2.0,STAMINA/STORM 2.5 (Single Thread),STAMINA/PRISM 2.0,STAMINA/PRISM 1.0,Winner
Flat 10 ,24.5753552913666,23.9204721450806,17.6139090061188,14.6972246170044,STAMINA/PRISM 1.0
Flat 10 010-111 (b) ,824.897534370422(Fail),1074.39708828926,5339.02150988579,4277.32874321938,STAMINA/STORM 2.5
Flat 10 010-111 (u) ,841.54665350914(Fail),1065.88890719414,5151.78726148605,4393.6943230629,STAMINA/STORM 2.5
Flat 10 111-010 (u) ,358.41108417511,423.921743392944,334.232792615891,288.646597385406,STAMINA/PRISM 1.0
Flat 10 010-100 (b) ,67.8995306491852,53.9544985294342,75.9618835449219,55.604692697525,STAMINA/STORM 2.5
Flat 10 100-010 (b) ,136.5113966465,120.77383184433,126.297562122345,114.92996096611,STAMINA/PRISM 1.0
Flat 10 111-100 (b) ,301.232608556747,368.786887645721,286.171947717667,497.609137535095,STAMINA/PRISM 2.0
Flat 10 100-010 (u) ,135.891379833221,122.330163955688,128.891568660736,132.299354314804,STAMINA/STORM 2.5
Flat 10 111-010 (b) ,346.942121744156,420.834117412567,335.887665271759,288.701780796051,STAMINA/PRISM 1.0
Flat 10 111-100 (u) ,311.286789417267,370.260862350464,302.052885532379,512.279993534088,STAMINA/PRISM 2.0
Flat 10 010-100 (u) ,69.4230060577393,54.5443665981293,76.3861207962036,54.6416947841644,STAMINA/STORM 2.5
Flat 10 100-111 (b) ,825.551521062851(Fail),1096.87945747375,5410.05770301819,5077.87318110466,STAMINA/STORM 2.5
Flat 10 100-111 (u) ,887.103402137756(Fail),1096.27498912811,5509.92320489883,4997.81613898277,STAMINA/STORM 2.5
Flat 10 101-000 (b) ,181.276505470276,152.863532304764,210.804318189621,191.044197797775,STAMINA/STORM 2.5
Flat 10 101-000 (u) ,183.478701114655,155.431940555573,218.498221635818,196.981060266495,STAMINA/STORM 2.5
Flat 10 000-101 (b) ,1130.44977641106,864.386138916016,4148.93230199814,3799.65460777283,STAMINA/STORM 2.5
Flat 10 011-101 (b) ,974.077057123184,868.550336122513,4528.91894173622,3966.64391827583,STAMINA/STORM 2.5
Flat 10 011-000 (u) ,204.106910943985,177.270392894745,245.567725419998,291.485731124878,STAMINA/STORM 2.5
Flat 10 000-101 (u) ,1191.2516105175,917.916961193085,4127.58298826218,3698.81107592583,STAMINA/STORM 2.5
Flat 10 101-011 (b) ,996.579805612564,860.752465724945,5114.47537732124,4170.04060697556,STAMINA/STORM 2.5
