,STAMINA/STORM 2.0,STAMINA/STORM 2.5 (Single Thread),STAMINA/PRISM 2.0,STAMINA/PRISM 1.0
Flat 10 ,2.25042000034925E-07,3.0224100000531E-07,1.99738610040523E-07,3.22649073014603E-07
Flat 10 010-111 (b) ,,0.556171492577,0.000113859146044,
Flat 10 010-111 (u) ,,0.556171492577,0.000113859146044,
Flat 10 111-010 (u) ,4.40999499999872E-05,0.002592574637,4.40999496920114E-05,0.000852379269
Flat 10 010-100 (b) ,1.31333869999861E-05,0.000128524415,1.31333863030436E-05,0.00024971162883
Flat 10 100-010 (b) ,2.17972700000124E-05,0.000127303709,2.17972708869696E-05,0.000110363448223
Flat 10 111-100 (b) ,3.23381020000957E-05,0.001108869518,3.23381018129121E-05,7.76157391120247E-05
Flat 10 100-010 (u) ,2.17972700000124E-05,0.000127303709,2.17972708869696E-05,0.000110363448223
Flat 10 111-010 (b) ,4.40999499999872E-05,0.002592574637,4.40999496920114E-05,0.000852379269
Flat 10 111-100 (u) ,3.23381020000957E-05,0.001108869518,3.23381018129121E-05,7.76157391120247E-05
Flat 10 010-100 (u) ,1.31333869999861E-05,0.000128524415,1.31333863030436E-05,0.00024971162883
Flat 10 100-111 (b) ,,0.573404626154,0.000117555672012,
Flat 10 100-111 (u) ,,0.573404626154,0.000117555672012,
Flat 10 101-000 (b) ,0,0,1.51770605920642E-05,0.000221029597159
Flat 10 101-000 (u) ,0,0,1.51770605920642E-05,0.000221029597159
Flat 10 000-101 (b) ,0,0,0.000197852352817,0.000645182861824
Flat 10 011-101 (b) ,0,0,0.000206990810504,0.000477741834878
Flat 10 011-000 (u) ,0,0,2.70867349969617E-05,0.000699104693831
Flat 10 000-101 (u) ,0,0,0.000197852352817,0.000645182861824
Flat 10 101-011 (b) ,0,0,0.000229119649269,0.000806503589396
Flat 10 000-011 (b) ,0,0,0.000120321012436,0.000621819366177
Flat 10 101-011 (u) ,0,0,0.000229119649269,0.000806503589396
Flat 10 000-011 (u) ,0,0,0.000120321012436,0.000621819366177
Flat 10 011-000 (b) ,0,0,2.70867349969617E-05,0.000699104693831
Flat 10 011-101 (u) ,0,0,0.000206990810504,0.000477741834878
 111to100 (u) ,3.23381020000957E-05,0.001108869518,3.23381018139113E-05,0.000169418976648
 010to100 (u) ,1.31333869999861E-05,0.000128524415,1.31333863040428E-05,0.000274710713927
 111to010 (u) ,4.40999499999872E-05,0.002592574637,4.4099949690013E-05,0.000865428926039
 100to111 (u) ,,0.573404626154,0.000117555672012,
 010to111 (u) ,,0.999436573986,,
 100to010 (u) ,2.17972700000124E-05,0.000127303709,2.17972708879688E-05,0.000113694010662
 111to010 ,5.62957480000348E-05,0.003153794435,5.62957487519888E-05,0.000802194349221
 010to100 ,2.47999000002608E-07,4.52019000007908E-07,2.23646608954464E-07,6.54115321019333E-07
 100to010 ,1.8765989999725E-06,2.65921199998909E-06,1.87659936495832E-06,2.87842872404021E-06
 111to100 ,3.22855290000312E-05,0.001085477154,3.22855294540014E-05,0.00016942613136
 010to111 ,2.43537459999991E-05,5.74306970000001E-05,2.43537467390989E-05,3.43423110318979E-05
 100to111 ,2.79193180000026E-05,5.08710919999988E-05,2.79193178213989E-05,4.04623879440014E-05
 000to011 test ,0,0,1.93669858705725E-06,1.52490386895465E-06
 101to011 ,0,0,0.000177975977148,0.000558810004628
 101to000 ,0,0,1.95494309879196E-05,0.000207010280508
 011to101 (u) ,0,0,0.000206990810505,0.000380401505244
 101to000 (u) ,0,0,1.51770605920642E-05,0.000207593780713
 000to011 (u) ,0,0,0.000120321012437,0.000569161993379
 011to000 (u) ,0,0,2.70867349969617E-05,0.000637991916983
 000to011 (u) test ,0,0,0.000120321012437,0.000569161993379
 101to011 (u) ,0,0,0.000229119649269,0.000634668154643
 000to101 (u) ,0,0,0.000197852352817,0.000536839125525
000-011 merged ,0,0,0.000120321012437,0.000569161993379
000to011 ,0,0,1.93669858705725E-06,1.52490386895465E-06
011to000 ,0,0,2.69838517169552E-05,0.000637770916538
000to101 ,0,0,2.15996080130676E-05,0.000130597788956
011to101 ,0,0,0.000212338783568,0.000554314207543
LHF 000to011 (u) ,0,0,,
LHF 011to000 (u) ,0,0,9.42324698993691E-06,9.90683362470657E-05
LHF 101to011 (u) ,0,0,,
LHF 011to101 (u) ,0,0,,
LHF 000to101 (u) ,0,0,,
LHF 101to000 (u) ,0,0,1.09861189570015E-05,8.55604465429538E-05
LHF 101to000 ,0,0,1.02046867220817E-05,7.89617658040198E-05
LHF 011to000 ,0,0,8.90471128300874E-06,9.79328576889982E-05
LHF 000to101 ,0,0,1.89981569997943E-06,4.1297743380575E-06
LHF 101to011 ,0,0,,
LHF 011to101 ,0,0,,
LHF 000to011 ,0,0,5.06150122203675E-06,8.97450732506577E-06
LHF 010to111 (u) ,,0.522030387594,,
LHF 111to010 (u) ,3.93282799999728E-05,0.011833863145,,
LHF 100to111 (u) ,,0.397834260076,,
LHF 010to100 (u) ,1.26065100000006E-05,0.00013697042,1.26065101832013E-05,0.000104478801388
LHF 100to010 (u) ,1.58941189999928E-05,0.000128079411,1.58941191690243E-05,0.000128531804846
LHF 111to100 (u) ,7.33208399994467E-06,0.000187079316,7.3320834420576E-06,0.000134431997748
LHF 010to111 ,0.000125093749,0.000698159421,0.000125093748919,0.000243641268854
LHF 100to010 ,1.25568199998982E-06,2.33047600001202E-06,1.25568240300078E-06,1.59196506399617E-06
LHF 010to100 ,7.36000999999875E-07,3.77946999999962E-06,7.36001704200462E-07,6.0579359456997E-06
LHF 111to100 ,9.7553460000066E-06,0.000178604923,9.75534581704185E-06,0.000133599957486
LHF 100to111 ,6.80046480000009E-05,0.000192107055,6.80046471052999E-05,0.0001884911038
LHF 111to010 ,3.37289780000249E-05,0.01105725958,,
Glitch One 000to011 (u) ,,0,,
Glitch One 101to011 (u) ,,,,
Glitch One 101to000 (u) ,0,0,,
Glitch One 011to000 (u) ,0,0,,
Glitch One 011to101 (u) ,,,,
Glitch One 000to101 (u) ,,,,
Glitch One 101to011 ,0,0,,
Glitch One 000to101 ,0,0,,
Glitch One 000to011 ,0,0,0.00094262515846,0.000924766260738
Glitch One 011to000 ,0,0,,
Glitch One 011to101 ,0,0,,
Glitch One 101to000 ,0,0,,
Glitch Zero 111to010 (u) ,4.94854109999998E-05,0.009695919486,,
Glitch Zero 100to010 (u) ,3.37083569999924E-05,0.000685521228,,
Glitch Zero 010to111 (u) ,,,,
Glitch Zero 010to100 (u) ,1.36605509999943E-05,0.00019904221,,
Glitch Zero 100to111 (u) ,,,,
Glitch Zero 111to100 (u) ,8.16786079999021E-05,0.001759456543,,
Glitch Zero 010to100 ,0.000581220666,0.001066903161,2.0669594311018E-05,7.09377373959708E-05
Glitch Zero 100to111 ,,0.004322640978,0.000529722231391,0.000395924103673
Glitch Zero 010to111 ,,0.008224191493,0.000180048774633,0.000173073343454
Glitch Zero 111to100 ,,0.051777312408,,
Glitch Zero 111to010 ,,0.203317797914,,
Glitch Zero 100to010,,0.008053514134,5.92891593570038E-05,5.08660214019879E-05
Yeast Polarization ,,,,
Simple Enzyme,,,,
